"Title","URL","CodeLines","FnCount","Functions","Selector","Headings"
"p5.strands: Introduction to Shaders","https://beta.p5js.org/tutorials/intro-to-p5-strands/","205","19","setup|draw|createCanvas|background|noStroke|filter|floor|max|pow|sin|cos|millis|createFramebuffer|shader|sphere|buildGeometry|ambientLight|pointLight|orbitControl",".cm-content(10)","p5.strands: Introduction to Shaders | Introduction | What is a Shader? | What is p5.strands? | Getting started with p5.strands | The setup | What’s happening here? | Available shaders"
"Typography 2.0","https://beta.p5js.org/tutorials/typography-20/","335","23","setup|draw|createCanvas|background|fill|noStroke|circle|textSize|textAlign|loadImage|loadFont|model|map|lerp|sin|asin|millis|box|sphere|normalMaterial|texture|orbitControl|split",".cm-content(19)","Greetings from p5.js 2.0: Animation, Interaction, and Typography in 2D and 3D | WebGL mode | 2D Text | 3D text | Drawing a background image | Layering | 3D rotation | Lighting"
"Setting Up Your Environment","https://beta.p5js.org/tutorials/setting-up-your-environment/","47","6","setup|draw|createCanvas|background|fill|circle",".cm-content(5)","Setting Up Your Environment | Introduction | What you will need | Step 0: Choose the type of coding environment | Using the p5.js Web Editor | Step 1: Open the p5.js Web Editor sign-up page | Step 2: Create an account with p5.js Web Editor | Step 3: Explore the p5.js Web Editor"
"Get Started","https://beta.p5js.org/tutorials/get-started/","95","11","setup|draw|createCanvas|background|fill|stroke|strokeWeight|circle|rect|text|textSize",".cm-content(6)","Get Started | Prerequisites | Step 1: Name and save a new p5.js project | Step 2: Change the size of the canvas | Step 3: Use comments to describe code | Comments | Statements | Step 4: Change the background color"
"Variables and Change","https://beta.p5js.org/tutorials/variables-and-change/","168","13","setup|draw|createCanvas|background|fill|stroke|ellipse|circle|rect|line|triangle|text|frameRate",".cm-content(7)","Variables and Change | Prerequisites: | Step 1: Choose where to start | Step 2: Create a background landscape | Step 3: Draw shapes using custom variables | Step 4: Add horizontal motion, | Step 5: Add more moving clouds & change frame rate | Step 6: Add vertical motion"
"Conditionals and Interactivity","https://beta.p5js.org/tutorials/conditionals-and-interactivity/","263","10","setup|draw|createCanvas|background|fill|stroke|circle|rect|line|triangle","pre code(37)","Conditionals and Interactivity | Prerequisites | Part 1: Interactive Sun | The IF Statement (a conditional statement) | The IF-ELSE Statement | Part 2: Sunrise Animation | Nested Conditionals"
"Organizing Code with Functions","https://beta.p5js.org/tutorials/organizing-code-with-functions/","355","17","setup|draw|createCanvas|background|fill|stroke|noStroke|strokeWeight|circle|rect|line|point|triangle|keyPressed|text|textSize|textAlign","pre code(30)","Organizing Code with Functions | Prerequisites | What is a function? | Defining custom functions | Step 1: Plan your functions with comments | Step 2: Create and call a custom function for the sky | Step 3: Create and call a custom function for the sun | Step 4: Create and call a custom function for the mountains"
"Repeating with Loops","https://beta.p5js.org/tutorials/repeating-with-loops/","199","13","setup|draw|createCanvas|background|fill|stroke|noStroke|circle|rect|line|point|push|frameRate",".cm-content(8)","Repeating with Loops | Introduction | What you’ll need | Step 1 – Draw the racetrack | Step 2 – Draw one caterpillar segment and make it move. | If-statements | Step 3 – Draw one caterpillar | 3.1 – Declare the properties of the caterpillar’s body"
"Data Structure Garden","https://beta.p5js.org/tutorials/data-structure-garden/","218","16","setup|draw|createCanvas|background|fill|noStroke|ellipse|push|mousePressed|text|textSize|color|log|random|frameRate|splice",".cm-content(12)","Data Structure Garden | Prerequisites | JavaScript Objects | Step 1: Make your first object | Step 2: Use your object | Step 3: Define a createFlower() function | Step 4: Define the drawFlower() function with a parameter | Step 5: Learn to use arrays"
"Animating with Media Objects","https://beta.p5js.org/tutorials/animating-with-media-objects/","218","8","setup|draw|createCanvas|background|loadImage|image|imageMode|createGraphics",".cm-content(9)","Animating with Media Objects | Introduction | Things you’ll need | Step 1 – Upload image files to the sketch folder | Step 2 – Load the images into the canvas | loadImage() | Step 3 – Draw the images onto the canvas | image()"
"Color Gradients","https://beta.p5js.org/tutorials/color-gradients/","17","7","setup|createCanvas|stroke|line|color|colorMode|map",".cm-content(1)","Color Gradients | Introduction | Prerequisites | Step 1: Set up your p5.js Web Editor and webcam | Step 2: Add a linear gradient filter on top of your photo | A white person with short dark curly hair wearing pink heart shaped glasses posing with his hand under his chin, with a vertical linear red to yellow gradient applied over the photo as a camera filter. Because of the LIGHTEST blendMode, the colorful gradient is especially visible on his dark hair and dark shirt. | Step 3: Add color gradient stickers | Conclusion"
"Custom Shapes and Smooth Curves","https://beta.p5js.org/tutorials/custom-shapes-and-smooth-curves/","387","27","setup|createCanvas|fill|stroke|noStroke|circle|line|bezierVertex|vertex|beginShape|endShape|curve|push|pop|translate|scale|mousePressed|mouseClicked|image|color|colorMode|lerpColor|map|random|blendMode|createButton|createCapture","pre code(11)","Custom Shapes and Smooth Curves | Introduction | Prerequisites | Step 1 – Open your Creating Color Gradients sketch | Step 2 – Create sparkles using the vertex() function | Step 3 – The Bézier Curve Interlude | Step 4 – Create rounded sparkles using the bezierVertex() function | Step 5 – Switch between the three sticker types with each click"
"Creating and Styling HTML","https://beta.p5js.org/tutorials/creating-styling-html/","146","9","setup|draw|createCanvas|background|min|log|select|createDiv|createP","pre code(19)","Creating and Styling HTML | Prerequisites: | Project setup | HTML | CSS | p5.Element | Conclusion | Next steps"
"Loading and Selecting Fonts","https://beta.p5js.org/tutorials/loading-and-selecting-fonts/","13","9","setup|createCanvas|background|fill|text|textSize|textFont|textAlign|loadFont",".cm-content(1)","Loading and Selecting Fonts | Prerequisites | Step 1 – Learn about fonts | Step 2 – Style text with web-safe fonts | Step 3 – Download a font from Google fonts | Step 4 – Upload the font file to your project | Step 5 – Load your font | Step 6 – Use your fonts in your display messages"
"How to Use p5.js with a Screen Reader","https://beta.p5js.org/tutorials/p5js-with-screen-reader/","0","0","","failed",""
"Writing Accessible Canvas Descriptions","https://beta.p5js.org/tutorials/writing-accessible-canvas-descriptions/","100","16","setup|draw|createCanvas|background|fill|noStroke|ellipse|triangle|text|textSize|textStyle|red|round|describe|describeElement|gridOutput","pre code(7)","Writing Accessible Canvas Descriptions | Introduction | What is Labeling? | Why Labeling Matters | Available Labeling Functions | Prerequisites | Step 1 — Plan Your Labeling Strategy | Complex Projects"
"Chatting with/about Code","https://beta.p5js.org/tutorials/criticalai1-chatting-with-about-code/","13","4","draw|background|keyPressed|color","pre code(3)","Chatting with/about Code | What are we making? | How to use it: Code-generating AI | How to make it | Step 1. Describe your idea | Step 2. Gather your tools | Step 3. Prompt GPT to generate some p5.js code | Step 4. Adapt the code to your needs"
"Critical AI Prompt Battle","https://beta.p5js.org/tutorials/criticalai2-prompt-battle/","0","0","","failed",""
"Critical AI Sentiment Dataset Explorer","https://beta.p5js.org/tutorials/criticalai3-sentiment-dataset-explorer/","0","0","","failed",""
"Critical AI No-AI Chatbot","https://beta.p5js.org/tutorials/criticalai4-no-ai-chatbot/","50","2","log|createP","pre code(13)","Critical AI No-AI Chatbot | What are we making? | How to use it: Custom chatbots | How to make it | Step 1. Get started with the interactive tutorial example | Step 2. Understand basic script files | Step 3. Add user inputs and replies | Step 4. Add variation with input alternatives"
"Coordinates and Transformations","https://beta.p5js.org/tutorials/coordinates-and-transformations/","155","22","setup|draw|createCanvas|background|fill|stroke|noStroke|strokeWeight|line|push|pop|translate|rotate|scale|map|random|sin|millis|sphere|cylinder|orbitControl|createVector",".cm-content(6)","Coordinates and Transformations | 3D coordinate space | Transformations: Position and Size of 3D Shapes | translate(): Moving Objects in Space | rotate(): Orienting Objects in Space | scale(): Size in Space | Transforming Multiple Shapes | The Order of Transformations Matters!"
"Creating Custom Geometry in WebGL","https://beta.p5js.org/tutorials/custom-geometry/","96","22","setup|draw|createCanvas|background|fill|beginShape|push|pop|translate|rotate|loadModel|model|colorMode|map|noise|sphere|cylinder|buildGeometry|normalMaterial|orbitControl|createVector|describe",".cm-content(5)","Creating Custom Geometry in WebGL | Loading 3D models from file | Creating procedural geometry | Reusing procedural geometry | Smooth shading | Advanced geometry techniques | Conclusion | Glossary"
"Lights Camera Materials","https://beta.p5js.org/tutorials/lights-camera-materials/","122","29","setup|draw|createCanvas|background|fill|stroke|noStroke|beginShape|push|pop|translate|loadImage|map|millis|box|ambientLight|directionalLight|pointLight|spotLight|ambientMaterial|normalMaterial|emissiveMaterial|specularMaterial|shininess|texture|camera|orbitControl|debugMode|describe",".cm-content(6)","Lights, Camera, Materials | Camera and view | Lighting | Materials and textures | Conclusion | Glossary"
"Introduction to GLSL","https://beta.p5js.org/tutorials/intro-to-glsl/","88","6","setup|createCanvas|color|sin|loop|createVideo",".cm-content(4)","Introduction to GLSL | Setup | Writing Shaders | Shading Language (GLSL) | Vertex Shaders | Fragment Shaders | Uniforms: Passing data from sketch to shader | Varyings: Passing data from vertex to fragment shader"
"Layered Rendering with Framebuffers","https://beta.p5js.org/tutorials/layered-rendering-with-framebuffers/","73","25","setup|draw|createCanvas|background|fill|noStroke|push|pop|translate|rotate|scale|image|imageMode|map|sin|createFramebuffer|clear|sphere|ambientLight|directionalLight|ambientMaterial|normalMaterial|specularMaterial|shininess|describe",".cm-content(3)","Layered Rendering with Framebuffers | What makes Framebuffers special? | Using a p5.Framebuffer | Sketching with Feedback | Fading with Feedback: Use FLOAT Precision | Feedback in 3D: Remember Depth | Sketching with Depth | Conclusion"
"Optimizing WebGL Sketches","https://beta.p5js.org/tutorials/optimizing-webgl-sketches/","17","8","setup|draw|createCanvas|background|strokeWeight|bezier|createSlider|describe",".cm-content(1)","Optimizing WebGL Sketches | How well does your sketch run? | Getting the best performance out of WebGL | Prefer p5.Framebuffer over p5.Graphics in WebGL Mode | Replace static p5.Graphics with p5.Image | Use p5.Geometry for shapes that don’t change | Prefer shaders over modifying pixels | Other tips"
"Field Guide to Debugging","https://beta.p5js.org/tutorials/field-guide-to-debugging/","131","8","setup|draw|createCanvas|background|circle|rect|text|textSize","pre code(21)","Field Guide to Debugging | Debugging | 0. Debugging is a creative act | 1. Change your perspective | 2. Observe the problem | 3. Before you start making changes… | 4. Check the basics | 5. Check black boxes"
"How to Optimize Your Sketches","https://beta.p5js.org/tutorials/how-to-optimize-your-sketches/","53","5","copy|dist|log|random|millis","pre code(5)","How to Optimize Your Sketches | Prerequisites | Step 1 – Define the problem | Step 2 – Understand and organize your code | Step 3 – Form a hypothesis | Step 4 – Test your hypothesis | Step 5 – Reflect on your goals and decide | Step 6 – Iterate"
"Getting Started with Node.js","https://beta.p5js.org/tutorials/getting-started-with-nodejs/","49","7","setup|draw|createCanvas|background|get|log|loadJSON","pre code(12)","Getting Started with Node.js | Prerequisites | Introducing Hypertext Transfer Protocol (HTTP) | Step 1: Setting up the code in an external editor | Step 2: Install Node.js & Express.js | Step 3: Read filenames from a folder on the server | Next Steps | Resources"
