"Type","Category","Title","URL","Word_Count","Code_Lines","Headings","Paragraphs","Estimated_Screens","Themes","P5_Function_Count","Data_Note","Tags","FnList"
"Tutorial","New in p5.js 2.0","p5.strands: Introduction to Shaders","https://beta.p5js.org/tutorials/intro-to-p5-strands/","4850","205","22","67","28.1","GPU Programming, Interactive Creative Coding, Shader Development","19","Scraped","interaction,lighting,shaders,math,3D","setup|draw|createCanvas|background|noStroke|filter|floor|max|pow|sin|cos|millis|createFramebuffer|shader|sphere|buildGeometry|ambientLight|pointLight|orbitControl"
"Tutorial","New in p5.js 2.0","Typography 2.0: Animation Interaction and Typography","https://beta.p5js.org/tutorials/typography-20/","3200","335","15","42","53.1","Creative Coding 3D, Animation Interaction, Typography Design","23","Scraped","typography,animation,lighting,images,math,3D","setup|draw|createCanvas|background|fill|noStroke|circle|textSize|textAlign|loadImage|loadFont|model|map|lerp|sin|asin|millis|box|sphere|normalMaterial|texture|orbitControl|split"
"Tutorial","Introduction to p5.js","Setting Up Your Environment","https://beta.p5js.org/tutorials/setting-up-your-environment/","3200","47","18","47","21.0","Environment Setup, Getting Started, Web Editor","6","Scraped","beginner","setup|draw|createCanvas|background|fill|circle"
"Tutorial","Introduction to p5.js","Get Started","https://beta.p5js.org/tutorials/get-started/","3350","95","27","38","24.4","Beginner Fundamentals, Canvas Drawing, Interactive Sketches","11","Scraped","interaction,beginner,drawing","setup|draw|createCanvas|background|fill|stroke|strokeWeight|circle|rect|text|textSize"
"Tutorial","Introduction to p5.js","Variables and Change","https://beta.p5js.org/tutorials/variables-and-change/","4350","168","36","50","32.5","Animation Variables, Motion Fundamentals, Creative Coding","13","Scraped","variables,animation","setup|draw|createCanvas|background|fill|stroke|ellipse|circle|rect|line|triangle|text|frameRate"
"Tutorial","Introduction to p5.js","Conditionals and Interactivity","https://beta.p5js.org/tutorials/conditionals-and-interactivity/","4350","263","12","38","27.2","Conditional Logic, User Interactivity, Animation Control","10","Scraped","conditionals,interaction,animation","setup|draw|createCanvas|background|fill|stroke|circle|rect|line|triangle"
"Tutorial","Introduction to p5.js","Organizing Code with Functions","https://beta.p5js.org/tutorials/organizing-code-with-functions/","4200","355","13","38","30.7","Function Abstraction, Code Organization, Modular Design","17","Scraped","keyboard","setup|draw|createCanvas|background|fill|stroke|noStroke|strokeWeight|circle|rect|line|point|triangle|keyPressed|text|textSize|textAlign"
"Tutorial","Introduction to p5.js","Repeating with Loops","https://beta.p5js.org/tutorials/repeating-with-loops/","4750","199","22","48","45.8","Loops Iteration, Array Manipulation, Pattern Generation","13","Scraped","generative,arrays,loops","setup|draw|createCanvas|background|fill|stroke|noStroke|circle|rect|line|point|push|frameRate"
"Tutorial","Introduction to p5.js","Data Structure Garden","https://beta.p5js.org/tutorials/data-structure-garden/","4200","218","17","35","36.3","Data Structures, Object Arrays, Interactive Visualization","16","Scraped","interaction,arrays,mouse,data,OOP","setup|draw|createCanvas|background|fill|noStroke|ellipse|push|mousePressed|text|textSize|color|log|random|frameRate|splice"
"Tutorial","Introduction to p5.js","Animating with Media Objects","https://beta.p5js.org/tutorials/animating-with-media-objects/","4200","218","22","45","40.6","Media Manipulation, Image Animation, Graphics Buffers","8","Scraped","animation,images","setup|draw|createCanvas|background|loadImage|image|imageMode|createGraphics"
